,Adjusted and Normalized peak areas in each treatment,,,,,,,,,,,,fdr-correcte p values from t-tests,,,Corresponding to Figure 3,,,,,,,,
Compound.Name,LCobSL_AB,LCobSL_CD,LCobSL_EF,LCobLL_AB,LCobLL_CD,LCobLL_EF,RCobSL_AB,RCobSL_CD,RCobSL_EF,RCobLL_AB,RCobLL_CD,RCobLL_EF,SL pvalue ,LL pvalue ,Combined pvalue ,Average peak size,Log2(Limited/Replete Cobalamin),Color,,,,,,
Lysine,83.0523222817788,93.968088204693,80.1181036874918,193.305037771847,140.438093213309,205.859027090286,1511.66150203942,1252.98333860126,1145.89195955993,215.794371895247,189.319094713642,175.825577373498,0.02334762,0.641425761,0.1205074513,4.41E+02,-2.495007446,Light Blue,,,,,,
Malic Acid,288.804177697608,264.179488102182,263.333333535291,55.3471028141168,38.0193718353354,37.363795154264,180.284549324763,255.559973644803,214.618251031578,14.6804493059575,11.3201213054927,21.8971749472286,0.1595663,0.045104612,0.643451833,1.37E+02,0.439464434,Light Blue,,,,,,
Methionine,85.0116481416278,125.489644837876,86.3123604018778,190.839078157702,166.218207971293,98.0796946048711,1938.15625554412,1709.51736653738,1854.72146287059,813.731209616965,651.930310374893,664.864433827773,0.01000071,0.008151579,0.0442513672,6.99E+02,-3.34352541,Dark Blue,,,,,,
NAD,25.4509499169178,19.9785105206532,20.7336040919859,10.7619136996162,13.69068328519,13.992372670892,32.2653031669369,32.7344326602421,29.0518567893743,11.6807323622642,11.1386174923262,12.1488207121038,0.03629495,0.447540118,0.534914828,1.95E+01,-0.302598415,Light Blue,,,,,,
NADH,dl,dl,dl,dl,dl,dl,0.162801158597117,0.159816074570828,0.244842843275736,dl,dl,dl,,,,,,,,,,,,
NADP,dl,dl,dl,dl,dl,dl,7.37657180507338,7.20605359227083,7.45369657414667,3.34582083858771,2.50401098329171,2.17592228116496,0.00002439415,0.047971141,0.0485517797,2.81E+00,-3.04963475,Dark Blue,,,,,,
Orotic Acid,dl,dl,dl,dl,dl,dl,13.4580533366379,28.4477785906213,21.2256519893624,8.09938410569728,7.19849831559777,6.72123501610276,0.1619306,0.017121,0.4546280159,1.23E+01,-0.458073333,Light Blue,,,,,,
Phenylalanine,3033.2920408475,5112.54349626631,2316.627560266,2280.63883684093,2328.48859116823,1469.36373710191,2153.19966833561,2376.00836123491,2792.69345214296,1802.13306252076,2347.83521535318,2880.96669441279,0.3815898,0.550189052,0.61848152,2.57E+03,0.204706592,Grey,,,,,,
Picolinic Acid,212.219367486029,185.731140607514,193.026105627185,dl,dl,dl,127.70700181495,128.749856129401,138.533196390503,133.493807964236,122.14204997208,108.302169750089,0.02083833,0.030154003,0.7804414114,1.32E+02,0.110311043,Dark Blue,,,,,,
Proline,1426084.25037467,1620688.99012695,1571298.73939499,474699.064175387,376165.237578114,412775.939552907,968262.476460898,1294588.16424092,1369278.31793431,453868.552572968,369705.585974175,338462.71991093,0.1459821,0.550189052,0.6567781466,8.90E+05,0.294956389,Grey,,,,,,
Propionyl CoA,dl,dl,dl,dl,dl,dl,0.202940752589323,0.235237726975734,0.254184271273669,dl,dl,dl,,,,,,,,,,,,
Pyridoxal Phosphate,47.7479791539625,20.1924881796654,27.0741627440321,27.0215138418182,23.4790540292806,25.3701341189732,36.4310492638721,37.8256936185833,35.237919226636,18.4646201708078,14.7102553859397,10.4837798887015,0.6357062,0.047971141,0.710232511,2.70E+01,0.15805195,Light Blue,,,,,,
Riboflavin Monophosphate,dl,dl,dl,dl,dl,dl,1.3024935614599,1.23895070421868,1.76208394496843,dl,dl,0.583474956074179,,,,,,,,,,,,
Ribose 5 phosphate,dl,dl,dl,dl,dl,dl,3.44933903141919,2.99350928893504,2.80792050056375,dl,dl,dl,,,,,,,,,,,,
Serine,62.021057364947,50.8219664707871,39.2709829149646,34.7071751484777,27.211627409485,14.035011323057,72.0258953030718,73.6043064206388,73.7758532012325,51.8697272881472,36.3000734962846,38.4128199083425,0.1170783,0.137155446,0.1464619778,4.78E+01,-0.601261915,Grey,,,,,,
Thiamine monophosphate,dl,dl,dl,dl,dl,dl,5.97957540570785,4.21644657000997,4.50000449310625,2.43350130077542,0.88836899094857,0.690682946640998,0.5897968,0.013311485,0.0871673949,4.42E+00,0.877171387,Light Blue,,,,,,
Thiamine pyrophosphate,dl,dl,dl,dl,dl,dl,45.4031178989051,32.3573462998781,33.2749141420255,17.2518991382651,11.531055946177,9.21938847444229,0.04345403,0.363910183,0.1090586983,1.68E+01,-1.516723641,Light Blue,,,,,,
Threonine,1636.88555180322,1534.45079033552,1621.04659295362,1245.68928015518,1190.9520718333,1314.55769769422,1683.73743353,1903.94436714992,1977.7110940608,1215.61493846136,1196.02370825823,1213.95678474317,0.1298226,0.434532925,0.6338435384,1.48E+03,-0.105378944,Grey,,,,,,
trans Hydroxyl proline,669.448149937048,666.999056574356,572.612613564625,550.257960842654,508.622432843565,578.777313969035,563.997568003131,575.650136188483,538.346104767609,452.599417506273,436.080426629717,382.073615634028,0.170867,0.034898752,0.1090586983,5.41E+02,0.266382257,Light Blue,,,,,,
Tryptophan,4908.84340560449,3476.05193598867,3701.51648712203,3397.48519390055,3556.95862288844,3088.71406510415,1427.04761814688,1635.46753655884,1707.70013043259,1428.69399645603,1463.10905492052,1198.98559670544,0.05630069,0.006714596,0.002281011,2.58E+03,1.320433332,Dark Blue,,,,,,
Tyrosine,377.142059762969,320.911256643365,297.879566019045,366.875816818215,333.69265632159,243.818382021911,27.1318483310462,99.1404686928786,103.192675761066,167.333565854699,128.277473503876,135.758018209098,0.0121818,0.052775992,0.0002898499,2.17E+02,1.553934477,Dark Blue,,,,,,
UDP-glucosamine,19.9715605245182,13.3268144171587,16.3064485629378,24.0016550539503,10.8071164464917,20.1330768688489,17.583337704214,19.316234631562,16.746645112669,15.3871508191044,16.2077804637313,19.7914806244041,0.5897968,0.828972354,0.9832476117,1.75E+01,-0.006690448,Grey,,,,,,
UDP-glucose,13.5027351655206,27.5130554089839,16.5324614889064,12.0923305652625,13.3460613524637,10.5437902359755,33.5562566510859,21.1992836698113,17.7479613191126,12.9403373365796,14.5509224398767,20.4863316435577,0.5139706,0.277529706,0.3884683477,1.78E+01,-0.365298974,Grey,,,,,,
Uridine,2.19921747629571,1.86688475355815,2.09282726564551,2.07230247785476,2.58813471648362,2.69754537376231,3.05594004193361,3.32979383939462,3.61121564958057,5.48669330747049,5.18909873526303,6.20392191249059,0.01775496,0.006714596,0.0485517797,3.37E+00,-0.991588445,Dark Blue,,,,,,
Valine,260.699520025237,245.355885873419,253.84298816106,508.73650501891,457.248864514914,451.225169505653,448.653829843457,420.36623402022,458.092057932526,439.975163516597,376.955885586815,385.588361836761,0.01070786,0.084846737,0.410253274,3.92E+02,-0.216513661,Light Blue,,,,,,
Vitamin B1,252.964695460795,438.878817393842,253.590428810787,dl,dl,dl,dl,dl,dl,dl,dl,dl,,,,,,,,,,,,
Vitamin B2,0.99992276784989,1.91376806283742,1.08605898597009,1.28701063910853,1.1841143089132,1.15557139095625,4.81507089476605,3.86602071112705,4.54866323349763,2.22718870604114,1.82714538599417,1.83606443338645,0.0121818,0.041281636,0.0664939725,2.23E+00,-1.326011257,Dark Blue,,,,,,
